Area_m2,Deposit,Monthly_Rent,School_Walk_Min,Transit_Min,Conv_Count,Subway_Count,Bank_Count,Hosp_Count,Pharm_Count,School_Count_Near,Cafe_Count,Rest_Count,Mart_Count,Parking_Count,Price_Hwansan,House_Age,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Rent_Type_Monthly,Orientation_East,Orientation_South,Orientation_West
38.98,17000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,17000.0,6.0,False,False,False,False,True,True,False,False,False,False
38.98,7000.0,25.0,19,20,1,0,0,0,0,0,1,3,0,0.0,9500.0,6.0,False,False,False,False,True,False,True,False,False,False
42.1,3000.0,50.0,19,20,1,0,0,0,0,0,1,3,0,0.0,8000.0,6.0,False,False,False,False,True,False,True,False,False,False
48.26,20000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,20000.0,6.0,False,False,False,False,True,True,False,False,False,False
38.98,17000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,17000.0,6.0,False,False,False,False,True,True,False,False,False,False
48.26,20000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,20000.0,6.0,False,False,False,False,True,True,False,False,False,False
17.5,8900.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,8900.0,11.0,False,False,False,False,True,True,False,False,False,True
22.06,10000.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,10000.0,12.0,False,False,False,False,True,True,False,True,False,False
47.475,14500.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,14500.0,13.0,False,False,False,False,True,True,False,False,False,False
15.6,500.0,48.0,19,20,1,0,0,0,0,0,1,3,0,0.0,5300.0,8.0,False,False,False,False,True,False,True,False,False,False
13.47,300.0,30.0,17,18,3,0,0,0,0,1,7,15,0,0.0,3300.0,14.0,False,False,False,False,True,False,True,True,False,False
12.4,6000.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6000.0,12.0,False,False,False,False,True,True,False,True,False,False
14.09,7000.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7000.0,13.0,False,False,False,False,True,True,False,False,False,True
25.19,1000.0,50.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6000.0,11.0,False,False,False,False,True,False,True,False,False,True
20.8,13000.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,13000.0,6.0,False,False,False,False,True,True,False,False,False,False
25.01,15500.0,0.0,17,18,3,0,0,0,0,1,7,15,0,0.0,15500.0,6.0,False,False,False,False,True,True,False,False,False,False
16.03,7000.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7000.0,13.0,False,False,False,False,True,True,False,False,False,True
