,Area_m2,School_Walk_Min,Subway_Count,School_Count_Near,Mart_Count,Price_Hwansan,House_Age,Life_Infra_Score,Pharm_Parking_Sum,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Orientation_East,Orientation_South,Orientation_West
165,36.13,23,0,0,0,15000.0,7.0,11,0.0,False,False,False,False,True,True,True,False,False
166,18.8,17,0,1,0,12000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
167,47.475,17,0,1,0,13500.0,13.0,25,0.0,False,False,False,False,True,True,False,False,False
168,47.475,17,0,1,0,13500.0,13.0,25,0.0,False,False,False,False,True,True,False,False,False
169,36.12,23,0,0,0,3553.0,7.0,11,0.0,False,False,False,False,True,False,True,False,False
170,15.6,19,0,0,0,5500.0,8.0,5,0.0,False,False,False,False,True,False,False,False,False
171,19.7272,17,0,1,0,12000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
172,19.7272,17,0,1,0,11500.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
173,19.7272,17,0,1,0,11500.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
174,21.48,23,0,0,0,3100.0,28.0,11,0.0,False,False,False,False,True,False,False,False,False
175,17.0,23,0,0,0,5500.0,11.0,11,0.0,False,False,False,False,True,False,True,False,False
176,26.02,50,0,0,1,4590.0,13.0,26,0.0,False,False,False,False,True,False,True,False,False
177,17.37,27,0,0,0,5406.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
178,19.11,27,0,0,0,5000.0,10.0,43,5.0,False,False,False,False,True,False,True,False,False
179,21.99,27,0,0,0,9450.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
180,41.71,27,0,0,0,17850.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
181,44.0,27,0,0,0,18900.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
182,41.71,27,0,0,0,17850.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
183,40.75,27,0,0,0,16800.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
184,19.59,27,0,0,0,10000.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
185,23.27,27,0,0,0,10500.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
186,18.66,27,0,0,0,12600.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
187,25.02,27,0,0,0,12600.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
188,41.71,27,0,0,0,17800.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
189,34.19,27,0,0,0,18900.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
190,54.8,27,0,0,0,20400.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
191,14.14,27,0,0,0,8400.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
192,24.98,27,0,0,0,13000.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
193,24.57,50,0,0,1,10000.0,8.0,26,0.0,False,False,False,False,True,True,True,False,False
194,24.88,27,0,0,0,15500.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
195,54.8,27,0,0,0,20000.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
196,24.88,27,0,0,0,7500.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
197,23.99,27,0,0,0,11000.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
198,18.0,27,0,0,0,7000.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
199,45.4,50,0,0,1,1000.0,13.0,26,0.0,False,False,False,False,True,True,True,False,False
200,19.59,27,0,0,0,9000.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
201,21.07,27,0,0,0,9500.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
